plant,species,time,number,time,neigh,trt
Chicory,Bombus.griseocollis,EARLY.CE.t8,3,EARLY,CE,t8
Queen.Annes.Lace,Bombus.griseocollis,EARLY.CE.t8,1,EARLY,CE,t8
Canadian.Thistle,Bombus.griseocollis,EARLY.DS.t4,3,EARLY,DS,t4
Red.Clover,Bombus.griseocollis,EARLY.DS.t4,1,EARLY,DS,t4
White.Clover,Bombus.griseocollis,EARLY.DS.t8,1,EARLY,DS,t8
Red.Clover,Bombus.griseocollis,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Bombus.griseocollis,EARLY.GL.t4,1,EARLY,GL,t4
Red.Clover,Bombus.griseocollis,LATE.GL.t4,4,LATE,GL,t4
Red.Clover,Bombus.griseocollis,EARLY.GL.t6,2,EARLY,GL,t6
Red.Clover,Bombus.griseocollis,EARLY.GL.t8,1,EARLY,GL,t8
White.Clover,Bombus.griseocollis,EARLY.GL.t8,1,EARLY,GL,t8
Red.Clover,Bombus.griseocollis,EARLY.HO.t4,2,EARLY,HO,t4
Common.Milkweed,Bombus.griseocollis,EARLY.HO.t6,1,EARLY,HO,t6
Queen.Annes.Lace,Bombus.griseocollis,EARLY.HO.t8,1,EARLY,HO,t8
Red.Clover,Bombus.griseocollis,EARLY.HO.t8,1,EARLY,HO,t8
White.Clover,Bombus.griseocollis,EARLY.HO.t8,1,EARLY,HO,t8
Grey.Headed.Coneflower,Bombus.griseocollis,LATE.HO.t8,2,LATE,HO,t8
Common.Milkweed,Bombus.griseocollis,EARLY.SV.t8,1,EARLY,SV,t8
Red.Clover,Bombus.griseocollis,EARLY.TR.t1,1,EARLY,TR,t1
White.Clover,Bombus.griseocollis,EARLY.TR.t4,1,EARLY,TR,t4
Queen.Annes.Lace,Bombus.griseocollis,EARLY.TR.t6,3,EARLY,TR,t6
Red.Clover,Bombus.griseocollis,EARLY.TR.t6,2,EARLY,TR,t6
Queen.Annes.Lace,Bombus.griseocollis,EARLY.TR.t8,1,EARLY,TR,t8
Red.Clover,Bombus.impatiens,EARLY.BU.t1,2,EARLY,BU,t1
Red.Clover,Bombus.impatiens,EARLY.BU.t4,1,EARLY,BU,t4
Red.Clover,Bombus.impatiens,EARLY.FA.t4,1,EARLY,FA,t4
Narrow.leaf.plantain,Bombus.impatiens,EARLY.GL.t4,1,EARLY,GL,t4
Red.Clover,Bombus.impatiens,EARLY.GL.t4,1,EARLY,GL,t4
Red.Clover,Bombus.impatiens,LATE.GL.t4,1,LATE,GL,t4
Chicory,Bombus.impatiens,LATE.HO.t4,1,LATE,HO,t4
Red.Clover,Bombus.impatiens,EARLY.HO.t6,1,EARLY,HO,t6
Chicory,Bombus.impatiens,LATE.HO.t8,1,LATE,HO,t8
Horsenettle,Bombus.impatiens,EARLY.SV.t4,3,EARLY,SV,t4
Narrow.leaf.plantain,Bombus.impatiens,LATE.SV.t4,2,LATE,SV,t4
Red.Clover,Bombus.impatiens,LATE.SV.t4,1,LATE,SV,t4
Unknown.Aster,Bombus.impatiens,LATE.SV.t6,1,LATE,SV,t6
Red.Clover,Bombus.vagans,LATE.HO.t4,1,LATE,HO,t4
