"","Row.names","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne","trmt","pland","lpi","enn","site"
"11","C69",-0.637193320970172,-3.15209849056928,2.87548830245859,-0.524566918524372,-0.671058704298782,0.67105870429878,0.0927809219757539,-0.552940171332281,0.433202580197889,-0.395233081096464,0.808946757716222,2.40778720042773,0.775052412899862,0.758465150543907,-3.41711612112565,4.18007683212433,-0.520110302912541,0.386032326337649,-1.49573796452171,3.42363027266046,1.80459827744855,2.19263659277669,"Control",38.68,1.94,6.4296,"C69"
"12","C7",-0.775632218941767,-2.42974505369006,2.75304650124177,-1.13111414722965,-1.86878800975568,1.86878800975569,-0.51466875041854,-0.39158612561308,1.38033371279789,0.67435420968201,-0.0510283165276265,1.2411290166773,-1.32216181713922,3.65358700787837,-2.64359396755795,3.92246777503306,-0.462641859921843,0.636252124110434,-0.59968821901974,3.13445061383454,-0.062316377377342,3.02104315729039,"Control",49.26,1.65,4.8092,"C7"
"13","C8",-0.351210764882745,-1.60829601162209,2.17955545411673,-1.32862094280169,0.708730676812296,-0.708730676812296,0.81980137998324,-2.55578832693152,2.5031369036187,0.740958315214109,0.240197818825159,2.98112763578895,-4.07871211846361,4.00184528644314,-1.70567760609078,3.66180007181456,-0.0648058527971186,0.407350881536267,-2.53886781008351,6.01417087763965,0.29234907770028,5.57050068128732,"Control",48.07,1.5,5.4713,"C8"
"14","C9",1.27802682716593,-2.61817569984958,2.49358965312692,-0.59876771018645,-0.616997144624986,0.616997144624986,-1.32033262791946,0.626794205949152,2.0165910340326,-0.409253006597117,-0.170286476304434,1.70116342977071,-0.165015792458689,1.50831063080332,-2.88436766167605,4.74330662056418,-0.291978367872881,0.292883877007583,-0.505068476677882,3.65756936338365,0.457322753763013,3.08997340773923,"Control",49.33,1.5,5.5483,"C9"
"15","CE1",-0.290190147464279,-1.87232439361443,2.49823414057912,-1.3921296182053,-2.03178639139174,2.03178639139174,0.411597066209181,-0.0708155933480198,1.00948660113357,-0.842764965298809,-1.11664979912806,0.910667116885767,0.00098748876230897,1.64884868036611,-1.98145822192298,2.85397420394049,-0.173451664358537,0.0904192567552948,-1.03414438052664,2.21066930109847,0.0204987577098,2.17077123319467,"T1",26.34,0.63,7.5233,"CE1"
"16","CE8",0.139258724431819,-1.97135089615367,2.8201669939068,-1.6866156386378,-0.937494235969853,0.937494235969851,-1.66241012870674,0.444990324311122,2.5416254915967,0.332748668759202,-0.205593168778071,0.587225595438674,0.0356785238393474,1.40725729024537,-2.14118004324556,2.29233793128429,-0.356897637141576,0.366799520863694,-0.44054956066927,5.68847731707778,1.19854994840618,5.78544728895944,"T8",26.6432,0.6349,7.467,"CE8"
"17","DS1",1.12258132447227,-1.68510363223259,2.28369737172423,-1.32795541186761,-0.094570844914081,0.0945708449140814,-0.29365343704213,-1.33203831088948,3.57000904519961,-0.773146775552299,0.225109375714278,-0.517322054525545,-1.35818806614802,2.70175184890454,-1.81099393420393,3.40347039147122,-0.48635393827669,0.698500479970855,-1.03947792624835,3.84545265518055,0.733258987808437,3.42357455092499,"T1",40.73,1.42,4.7644,"DS1"
"18","DS8",1.63153266005383,-1.56657642956128,2.13680843626401,-1.30173902314931,-2.68442770225691,2.68442770225691,-1.59470375589709,-0.657701400785484,5.04945345577471,0.743872699222701,-0.938901251193947,1.30061293094829,-1.74179865571563,2.43669725305507,-1.68284088061039,2.72765935945192,-1.37414323737666,1.09050061128751,0.749002436582989,2.78571794385312,-0.84829962533105,2.88615819995393,"T8",39.4449,0.8925,5.6614,"DS8"
"19","Esperanza",0.526428575569214,-2.36002429610755,2.16952167498317,-0.40317929981123,-1.07236974720495,1.07236974720495,-0.198492990792473,-0.287269709983417,1.31474401186206,0.138130188918417,-0.402024423439837,1.65915915559374,-0.561470835729139,1.93264466594009,-2.56479816844441,1.5313298083934,-0.99577315946225,1.25730585725255,-0.735945299759793,3.65490344580751,1.76945993013211,3.53177069672177,"Farm",38.18,1.48,6.2342,"Esperanza"
"20","FA1",-0.0674086712759279,-2.16229122204556,2.83622309326191,-1.71163860510585,-3.54832298556521,3.5483229855652,-2.90435657360944,1.28175177188213,3.5998641789619,0.32398262705465,-0.250285326320814,1.2286525340836,-0.179538371537542,1.91893091763423,-2.30826571743446,2.4094905309384,-0.00499576351373808,-0.271713320463923,0.691055629476954,5.53473072304829,2.6616344324721,5.0281924403417,"T1",41.33,1.71,7.1896,"FA1"
