"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"C9",-0.0550256363162174,-3.12942656486492,4.64741690174005,-2.39401524413049,-3.14519663200348,3.14519663200346,-3.45304089165904,2.1607522510637,2.25900927348639,0.0084518404720489,1.37018857703432,3.22128650222121,-1.23266464302272,3.08735280318041,-3.37726849197748,-37.1803824843171,-60.5963664483134,40.2900021070222,4.49292659362874,-1.02225097316591,3.44295229945849
"Esperanza",-0.591257534678188,-2.82802933623988,4.05971276098463,-2.11137112037773,-3.58675060086478,3.5867506008648,-2.02355888387978,1.04493825411014,1.51056295729976,0.567425393330538,0.572083461566536,3.12604423316607,-1.55879993356499,3.26176412280566,-2.96131906492332,-52.4289635586544,-68.2143855887546,41.0899027500419,3.03721747142481,0.79681783335464,2.54885763790863
"Fairfax",-0.603636604806793,-2.38537569547977,4.19224007155977,-2.77756963573486,-1.98576859376575,1.98576859376574,-1.44943448693991,-0.34416905702761,2.50721282967335,0.184984266158055,1.49130938187817,3.68163017105749,-2.95648624453508,3.33037632948628,-2.60475656902166,-45.5656978078255,-66.0327403100301,39.3684670739858,5.03318407588237,-0.450799134072611,3.74754024357023
"LonnieBurten",-1.73071849766029,-1.70539595243136,3.55012346483703,-2.552246133238,-2.1726956691044,2.17269566910441,-1.63962698073902,-0.00813515754452095,1.21619100571236,1.65466080483523,1.78076696467939,4.05889370837798,-3.25576705011764,3.10128750799192,-1.93366779546696,-37.8564130066571,-52.6216603577867,30.6062196952916,4.4680957208878,-1.13296167539113,4.22913333232062
"Midtown",-0.213653171850207,-3.21468567007816,4.71077405383551,-2.3920537547824,-2.15173994095921,2.1517399409592,-2.38787964325358,1.11423973865291,2.09572104475609,0.0157134385053827,1.21815842256397,3.03337451448532,-1.83714510971774,3.79679359727667,-3.48424688944833,-35.4220711889922,-59.5036540419614,40.5387349290025,5.07157687087508,-1.53913870777242,4.10425434586098
"SlavicVillage",-0.740468218388716,-2.30404033322672,3.81153765999043,-2.35006984918889,-3.58911008863095,3.58911008863095,-1.98736219127601,0.141830309938753,1.03898764997611,1.37365111850311,2.79830155945048,3.80040431190089,-2.01889179996498,2.82604995027364,-2.5031359546112,-40.6415931243592,-58.5459991418308,35.4745092988685,5.76560033239535,-1.62648286354608,5.07817049579996
"BU1",1.16776433650894,-2.80900505488381,4.91426354684634,-3.17774340118151,-5.18289288948423,5.18289288948422,-5.2756070713582,2.36463640531932,4.30551364237982,1.75787908821519,2.23624522440552,2.89964853453806,-0.936918829872816,2.04505280005438,-2.95355394196927,-50.1521977825713,-64.2361069441871,33.6159798748917,5.25328872381532,0.420636746254647,4.61166466625921
"CE1",-1.3230629099024,-2.18775168454413,3.79367949790467,-2.42590406876175,-4.75693385280474,4.75693385280473,-0.983476171176822,0.941689431429273,1.24572419546172,-0.655439269292926,-0.631899727229083,2.03238576364569,-0.821138390494552,2.88471526753934,-2.3112962337928,-44.76044177763,-60.4863559915442,45.9148879140527,1.99086586642303,-0.469686190903981,2.4368787275687
"DS1",0.29654691213783,-2.09268859298398,3.61576197783813,-2.22385074879369,-1.66937234425238,1.66937234425238,-1.59179389036146,-0.586515777463125,3.94549620288227,-0.630706096889862,1.30722148453492,0.141226875390108,-2.04419017684024,4.19176577413457,-2.22556654132129,-41.6146719357827,-60.5961553698217,51.9675029561536,3.01807213698343,0.269276669995492,2.9296279631996
"FA1",-1.15663641574683,-2.5629871228887,4.54458782467175,-2.75261172397392,-7.33679941018649,7.33679941018648,-4.55579190449381,2.65942648071153,3.80843939654053,0.558077692563813,0.816996429329155,2.46495214695885,-1.09752015277529,3.283778278283,-2.72126421833062,-54.7712491425036,-69.3957648989865,41.2162388482536,5.34015421893159,1.07448389013706,5.2489200605429
"GL1",-1.5598071563623,-1.46591983128628,3.24399651843428,-2.35989915784392,-3.96186059448454,3.96186059448454,-1.32379643812666,1.22552317927634,-0.947236573921812,-0.639052814398617,2.84728430766353,1.13621681315573,-0.29535758655739,0.399745960037673,-1.63608048427274,-35.7258896588144,-51.2138272261507,42.1113898057785,1.23690855251758,1.1529818734539,0.672382734883439
"HO1",-1.41684943577223,-1.76194806261351,3.90630344405702,-2.67302617921776,-3.33608962512509,3.33608962512509,-1.65911947489322,0.692632048786763,0.988701649027762,2.38032965480877,-0.642257134754939,2.81286172935771,-2.21768427503997,2.59144159350661,-1.91668330676234,-50.5051934173478,-65.9764686798266,47.2572233351201,2.77488866077179,2.57201384185605,1.31946032206028
"SV1",-1.60087169542632,-1.89297738020721,4.18869292478995,-3.12402271109126,-1.49391292030469,1.49391292030469,-2.33650957203303,1.13580708216837,1.41571478119893,0.393428007290609,1.82646245751824,2.70989360863175,-2.39476066891475,2.93754136223941,-2.07028510140562,-41.9370024250942,-54.9940565080228,28.5976609214742,4.9890316440789,2.68393993149396,2.13418157252551
"TR1",-0.678908913239224,-2.89380318347324,4.42033361583398,-2.30013561949703,-5.19129929941203,5.19129929941202,-2.87174724326903,1.17725635671734,2.306046950847,0.445492483803546,1.81725446260553,3.38738548460516,-1.3088337911672,2.39830948087146,-3.09552727814492,-55.3810981998142,-72.5634253584587,39.5235127565339,2.79470517477182,-0.327661277220909,2.6599367244314
"BU4",-0.987799939292627,-2.52189343989987,4.34848480172707,-2.71587991725496,-4.16299555877525,4.16299555877524,-4.85473737394212,1.59231915429159,4.9670790496919,2.18019631449593,0.952025688587109,-0.249430345925957,-1.78174397687726,4.71176829036377,-2.68217282340451,-44.9738429771542,-57.2454999724008,34.1632357540085,6.55434611558728,3.83772952919772,4.62974533403985
"CE4",0.919045319596447,-2.44036774583154,4.33135627116541,-2.66305078030457,-4.60094328282954,4.60094328282954,-1.65877266946835,-0.479282802177971,4.13210953848458,0.847345407823717,-0.65073075119908,4.01361299131874,-2.72144307773027,3.81489792741373,-2.5646218599866,-59.1027666913405,-76.6769263534499,53.1013662225375,4.32430159824682,0.207497319301869,4.67463692914199
